代码,交易所,名称,代码2,产品代码,产品类型,交割年份,交割月份,合约乘数,PriceTick,创建日,上市日,到期日,开始交割日,结束交割日,合约周期状态,是否交易,持仓类型,持仓日期类型,标的代码,执行价,期权类型
IC1907,CFFEX,中证500指数1907,IC1907,IC,1,2019,7,200,0.2000,20190517,20190520,20190719,20190719,20190719,1,1,2,2,,0.0000,0 
IC1908,CFFEX,中证500指数1908,IC1908,IC,1,2019,8,200,0.2000,20190621,20190624,20190816,20190816,20190816,1,1,2,2,,0.0000,0 
IC1909,CFFEX,中证500指数1909,IC1909,IC,1,2019,9,200,0.2000,20190118,20190121,20190920,20190920,20190920,1,1,2,2,,0.0000,0 
IC1912,CFFEX,中证500指数1912,IC1912,IC,1,2019,12,200,0.2000,20190419,20190422,20191220,20191220,20191220,1,1,2,2,,0.0000,0 
IF1907,CFFEX,IF1907,IF1907,IF,1,2019,7,300,0.2000,20190517,20190520,20190719,20190719,20190719,1,1,2,2,,0.0000,0 
IF1908,CFFEX,IF1908,IF1908,IF,1,2019,8,300,0.2000,20190621,20190624,20190816,20190816,20190816,1,1,2,2,,0.0000,0 
IF1909,CFFEX,IF1909,IF1909,IF,1,2019,9,300,0.2000,20190118,20190121,20190920,20190920,20190920,1,1,2,2,,0.0000,0 
IF1912,CFFEX,IF1912,IF1912,IF,1,2019,12,300,0.2000,20190419,20190422,20191220,20191220,20191220,1,1,2,2,,0.0000,0 
IH1907,CFFEX,上证50指数1907,IH1907,IH,1,2019,7,300,0.2000,20190517,20190520,20190719,20190719,20190719,1,1,2,2,,0.0000,0 
IH1908,CFFEX,上证50指数1908,IH1908,IH,1,2019,8,300,0.2000,20190621,20190624,20190816,20190816,20190816,1,1,2,2,,0.0000,0 
IH1909,CFFEX,上证50指数1909,IH1909,IH,1,2019,9,300,0.2000,20190118,20190121,20190920,20190920,20190920,1,1,2,2,,0.0000,0 
IH1912,CFFEX,上证50指数1912,IH1912,IH,1,2019,12,300,0.2000,20190419,20190422,20191220,20191220,20191220,1,1,2,2,,0.0000,0 
T1909,CFFEX,10年期国债1909,T1909,T,1,2019,9,10000,0.0050,20181214,20181217,20190916,20190917,20190919,1,1,2,2,,0.0000,0 
T1912,CFFEX,10年期国债1912,T1912,T,1,2019,12,10000,0.0050,20190308,20190311,20191213,20191216,20191218,1,1,2,2,,0.0000,0 
T2003,CFFEX,10年期国债2003,T2003,T,1,2020,3,10000,0.0050,20190614,20190617,20200313,20200316,20200318,1,1,2,2,,0.0000,0 
TF1909,CFFEX,5年期国债1909,TF1909,TF,1,2019,9,10000,0.0050,20181214,20181217,20190916,20190917,20190919,1,1,2,2,,0.0000,0 
TF1912,CFFEX,5年期国债1912,TF1912,TF,1,2019,12,10000,0.0050,20190308,20190311,20191213,20191216,20191218,1,1,2,2,,0.0000,0 
TF2003,CFFEX,5年期国债2003,TF2003,TF,1,2020,3,10000,0.0050,20190614,20190617,20200313,20200316,20200318,1,1,2,2,,0.0000,0 
TS1909,CFFEX,2年期国债1909,TS1909,TS,1,2019,9,20000,0.0050,20181214,20181217,20190916,20190917,20190919,1,1,2,2,,0.0000,0 
TS1912,CFFEX,2年期国债1912,TS1912,TS,1,2019,12,20000,0.0050,20190308,20190311,20191213,20191216,20191218,1,1,2,2,,0.0000,0 
TS2003,CFFEX,2年期国债2003,TS2003,TS,1,2020,3,20000,0.0050,20190614,20190617,20200313,20200316,20200318,1,1,2,2,,0.0000,0 
