代码,名称,交易所,产品类型,合约乘数,PriceTick,持仓类型,持仓日期类型,平仓处理类型
QM,优质强筋小麦,CZCE,1,50,1.0000,2,2,1
LR,晚籼稻,CZCE,1,20,1.0000,2,2,1
SR,白砂糖,CZCE,1,10,1.0000,2,2,1
TA,精对苯二甲酸,CZCE,1,5,2.0000,2,2,1
WT,硬冬白小麦,CZCE,1,10,1.0000,2,2,1
ME,甲醇,CZCE,1,50,1.0000,2,2,1
RM,菜籽粕,CZCE,1,10,1.0000,2,2,1
CJ,红枣,CZCE,1,5,5.0000,2,2,1
TC,动力煤,CZCE,1,200,0.2000,2,2,1
CFP,棉花看跌期权,CZCE,2,5,1.0000,2,2,1
SRC,白糖看涨期权,CZCE,2,10,0.5000,2,2,1
CFC,棉花看涨期权,CZCE,2,5,1.0000,2,2,1
WS,优质强筋小麦,CZCE,1,10,1.0000,2,2,1
RS,油菜籽,CZCE,1,10,1.0000,2,2,1
OI,菜籽油,CZCE,1,10,1.0000,2,2,1
WH,优质强筋小麦,CZCE,1,20,1.0000,2,2,1
ER,早籼稻,CZCE,1,10,1.0000,2,2,1
CY,棉纱,CZCE,1,5,5.0000,2,2,1
AP,鲜苹果,CZCE,1,10,1.0000,2,2,1
RI,早籼稻,CZCE,1,20,1.0000,2,2,1
FG,玻璃,CZCE,1,20,1.0000,2,2,1
SM,锰硅,CZCE,1,5,2.0000,2,2,1
JR,粳稻谷,CZCE,1,20,1.0000,2,2,1
PM,普通小麦,CZCE,1,50,1.0000,2,2,1
CF,一号棉花,CZCE,1,5,5.0000,2,2,1
SF,硅铁,CZCE,1,5,2.0000,2,2,1
SRP,白糖看跌期权,CZCE,2,10,0.5000,2,2,1
ZC,动力煤,CZCE,1,100,0.2000,2,2,1
MA,甲醇,CZCE,1,10,1.0000,2,2,1
RO,菜籽油,CZCE,1,5,2.0000,2,2,1
