代码,交易所,名称,代码2,产品代码,产品类型,交割年份,交割月份,合约乘数,PriceTick,创建日,上市日,到期日,开始交割日,结束交割日,合约周期状态,是否交易,持仓类型,持仓日期类型,标的代码,执行价,期权类型
PRT c1909-C-1700&c1909,DCE,&,-c1909-C-1700，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1720&c1909,DCE,&,-c1909-C-1720，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1740&c1909,DCE,&,-c1909-C-1740，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1760&c1909,DCE,&,-c1909-C-1760，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1780&c1909,DCE,&,-c1909-C-1780，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1800&c1909,DCE,&,-c1909-C-1800，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1820&c1909,DCE,&,-c1909-C-1820，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1840&c1909,DCE,&,-c1909-C-1840，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1860&c1909,DCE,&,-c1909-C-1860，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1880&c1909,DCE,&,-c1909-C-1880，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1900&c1909,DCE,&,-c1909-C-1900，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1920&c1909,DCE,&,-c1909-C-1920，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1940&c1909,DCE,&,-c1909-C-1940，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1960&c1909,DCE,&,-c1909-C-1960，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-1980&c1909,DCE,&,-c1909-C-1980，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-2000&c1909,DCE,&,-c1909-C-2000，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-2020&c1909,DCE,&,-c1909-C-2020，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-2040&c1909,DCE,&,-c1909-C-2040，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-2060&c1909,DCE,&,-c1909-C-2060，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-2080&c1909,DCE,&,-c1909-C-2080，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-2100&c1909,DCE,&,-c1909-C-2100，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-2120&c1909,DCE,&,-c1909-C-2120，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-C-2140&c1909,DCE,&,-c1909-C-2140，c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1700&c1909,DCE,&,-c1909-P-1700，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1720&c1909,DCE,&,-c1909-P-1720，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1740&c1909,DCE,&,-c1909-P-1740，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1760&c1909,DCE,&,-c1909-P-1760，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1780&c1909,DCE,&,-c1909-P-1780，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1800&c1909,DCE,&,-c1909-P-1800，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1820&c1909,DCE,&,-c1909-P-1820，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1840&c1909,DCE,&,-c1909-P-1840，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1860&c1909,DCE,&,-c1909-P-1860，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1880&c1909,DCE,&,-c1909-P-1880，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1900&c1909,DCE,&,-c1909-P-1900，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1920&c1909,DCE,&,-c1909-P-1920，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1940&c1909,DCE,&,-c1909-P-1940，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1960&c1909,DCE,&,-c1909-P-1960，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-1980&c1909,DCE,&,-c1909-P-1980，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-2000&c1909,DCE,&,-c1909-P-2000，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-2020&c1909,DCE,&,-c1909-P-2020，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-2040&c1909,DCE,&,-c1909-P-2040，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c1909-P-2060&c1909,DCE,&,-c1909-P-2060，-c1909,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
