´úÂë,½»Ò×Ëù,Ãû³Æ,´úÂë2,²úÆ·´úÂë,²úÆ·ÀàÐÍ,½»¸îÄê·Ý,½»¸îÔÂ·Ý,ºÏÔ¼³ËÊý,PriceTick,´´½¨ÈÕ,ÉÏÊÐÈÕ,µ½ÆÚÈÕ,¿ªÊ¼½»¸îÈÕ,½áÊø½»¸îÈÕ,ºÏÔ¼ÖÜÆÚ×´Ì¬,ÊÇ·ñ½»Ò×,³Ö²ÖÀàÐÍ,³Ö²ÖÈÕÆÚÀàÐÍ,±êµÄ´úÂë,Ö´ÐÐ¼Û,ÆÚÈ¨ÀàÐÍ
ag1908,SHFE,°×Òø1908,ag1908,ag,1,2019,8,15,1.0000,20180716,20180816,20190815,20190816,20190822,1,1,2,1,,0.0000,0 
ag1909,SHFE,°×Òø1909,ag1909,ag,1,2019,9,15,1.0000,20180816,20180918,20190916,20190917,20190923,1,1,2,1,,0.0000,0 
ag1910,SHFE,°×Òø1910,ag1910,ag,1,2019,10,15,1.0000,20180912,20181016,20191015,20191016,20191022,1,1,2,1,,0.0000,0 
ag1911,SHFE,°×Òø1911,ag1911,ag,1,2019,11,15,1.0000,20181016,20181116,20191115,20191118,20191122,1,1,2,1,,0.0000,0 
ag1912,SHFE,°×Òø1912,ag1912,ag,1,2019,12,15,1.0000,20181115,20181218,20191216,20191217,20191223,1,1,2,1,,0.0000,0 
ag2001,SHFE,°×Òø2001,ag2001,ag,1,2020,1,15,1.0000,20181213,20190116,20200115,20200116,20200122,1,1,2,1,,0.0000,0 
ag2002,SHFE,°×Òø2002,ag2002,ag,1,2020,2,15,1.0000,20190116,20190218,20200217,20200218,20200224,1,1,2,1,,0.0000,0 
ag2003,SHFE,°×Òø2003,ag2003,ag,1,2020,3,15,1.0000,20190213,20190318,20200316,20200317,20200323,1,1,2,1,,0.0000,0 
ag2004,SHFE,°×Òø2004,ag2004,ag,1,2020,4,15,1.0000,20190314,20190416,20200415,20200416,20200422,1,1,2,1,,0.0000,0 
ag2005,SHFE,°×Òø2005,ag2005,ag,1,2020,5,15,1.0000,20190415,20190516,20200515,20200518,20200522,1,1,2,1,,0.0000,0 
ag2006,SHFE,°×Òø2006,ag2006,ag,1,2020,6,15,1.0000,20190516,20190618,20200615,20200616,20200622,1,1,2,1,,0.0000,0 
ag2007,SHFE,°×Òø2007,ag2007,ag,1,2020,7,15,1.0000,20190613,20190716,20200715,20200716,20200722,1,1,2,1,,0.0000,0 
agefp,SHFE,agefp,agefp,agefp,5,2037,12,15,1.0000,20120201,20120510,20371231,20371231,20371231,1,1,2,1,ag,0.0000,0 
al1908,SHFE,ÂÁ1908,al1908,al,1,2019,8,5,5.0000,20180716,20180816,20190815,20190816,20190822,1,1,2,1,,0.0000,0 
al1909,SHFE,ÂÁ1909,al1909,al,1,2019,9,5,5.0000,20180816,20180918,20190916,20190917,20190923,1,1,2,1,,0.0000,0 
al1910,SHFE,ÂÁ1910,al1910,al,1,2019,10,5,5.0000,20180912,20181016,20191015,20191016,20191022,1,1,2,1,,0.0000,0 
al1911,SHFE,ÂÁ1911,al1911,al,1,2019,11,5,5.0000,20181016,20181116,20191115,20191118,20191122,1,1,2,1,,0.0000,0 
al1912,SHFE,ÂÁ1912,al1912,al,1,2019,12,5,5.0000,20181115,20181218,20191216,20191217,20191223,1,1,2,1,,0.0000,0 
al2001,SHFE,ÂÁ2001,al2001,al,1,2020,1,5,5.0000,20181213,20190116,20200115,20200116,20200122,1,1,2,1,,0.0000,0 
al2002,SHFE,ÂÁ2002,al2002,al,1,2020,2,5,5.0000,20190116,20190218,20200217,20200218,20200224,1,1,2,1,,0.0000,0 
al2003,SHFE,ÂÁ2003,al2003,al,1,2020,3,5,5.0000,20190213,20190318,20200316,20200317,20200323,1,1,2,1,,0.0000,0 
al2004,SHFE,ÂÁ2004,al2004,al,1,2020,4,5,5.0000,20190314,20190416,20200415,20200416,20200422,1,1,2,1,,0.0000,0 
al2005,SHFE,ÂÁ2005,al2005,al,1,2020,5,5,5.0000,20190415,20190516,20200515,20200518,20200522,1,1,2,1,,0.0000,0 
al2006,SHFE,ÂÁ2006,al2006,al,1,2020,6,5,5.0000,20190516,20190618,20200615,20200616,20200622,1,1,2,1,,0.0000,0 
al2007,SHFE,ÂÁ2007,al2007,al,1,2020,7,5,5.0000,20190613,20190716,20200715,20200716,20200722,1,1,2,1,,0.0000,0 
alefp,SHFE,alefp,alefp,alefp,5,2037,12,5,5.0000,20060724,20060724,20371231,20371231,20371231,1,1,2,1,al,0.0000,0 
au1908,SHFE,»Æ½ð1908,au1908,au,1,2019,8,1000,0.0500,20180613,20180717,20190815,20190816,20190822,1,1,2,1,,0.0000,0 
au1909,SHFE,»Æ½ð1909,au1909,au,1,2019,9,1000,0.0500,20190516,20190618,20190916,20190917,20190923,1,1,2,1,,0.0000,0 
au1910,SHFE,»Æ½ð1910,au1910,au,1,2019,10,1000,0.0500,20180816,20180918,20191015,20191016,20191022,1,1,2,1,,0.0000,0 
au1912,SHFE,»Æ½ð1912,au1912,au,1,2019,12,1000,0.0500,20181016,20181116,20191216,20191217,20191223,1,1,2,1,,0.0000,0 
au2002,SHFE,»Æ½ð2002,au2002,au,1,2020,2,1000,0.0500,20181213,20190116,20200217,20200218,20200224,1,1,2,1,,0.0000,0 
au2004,SHFE,»Æ½ð2004,au2004,au,1,2020,4,1000,0.0500,20190213,20190318,20200415,20200416,20200422,1,1,2,1,,0.0000,0 
au2006,SHFE,»Æ½ð2006,au2006,au,1,2020,6,1000,0.0500,20190415,20190516,20200615,20200616,20200622,1,1,2,1,,0.0000,0 
au2008,SHFE,»Æ½ð2008,au2008,au,1,2020,8,1000,0.0500,20190613,20190716,20200817,20200818,20200824,1,1,2,1,,0.0000,0 
auefp,SHFE,auefp,auefp,auefp,5,2037,12,1000,0.0500,20071228,20080109,20371231,20371231,20371231,1,1,2,1,au,0.0000,0 
bu1908,SHFE,Ê¯ÓÍÁ¤Çà1908,bu1908,bu,1,2019,8,10,2.0000,20190116,20190218,20190815,20190816,20190822,1,1,2,1,,0.0000,0 
