代码,交易所,名称,代码2,产品代码,产品类型,交割年份,交割月份,合约乘数,PriceTick,创建日,上市日,到期日,开始交割日,结束交割日,合约周期状态,是否交易,持仓类型,持仓日期类型,标的代码,执行价,期权类型
IC1910,CFFEX,中证500指数1910,IC1910,IC,1,2019,10,200,0.2000,20190816,20190819,20191018,20191018,20191018,1,1,2,2,,0.0000,0 
IC1911,CFFEX,中证500指数1911,IC1911,IC,1,2019,11,200,0.2000,20190920,20190923,20191115,20191115,20191115,1,1,2,2,,0.0000,0 
IC1912,CFFEX,中证500指数1912,IC1912,IC,1,2019,12,200,0.2000,20190419,20190422,20191220,20191220,20191220,1,1,2,2,,0.0000,0 
IC2003,CFFEX,中证500指数2003,IC2003,IC,1,2020,3,200,0.2000,20190719,20190722,20200320,20200320,20200320,1,1,2,2,,0.0000,0 
IF1910,CFFEX,IF1910,IF1910,IF,1,2019,10,300,0.2000,20190816,20190819,20191018,20191018,20191018,1,1,2,2,,0.0000,0 
IF1911,CFFEX,IF1911,IF1911,IF,1,2019,11,300,0.2000,20190920,20190923,20191115,20191115,20191115,1,1,2,2,,0.0000,0 
IF1912,CFFEX,IF1912,IF1912,IF,1,2019,12,300,0.2000,20190419,20190422,20191220,20191220,20191220,1,1,2,2,,0.0000,0 
IF2003,CFFEX,IF2003,IF2003,IF,1,2020,3,300,0.2000,20190719,20190722,20200320,20200320,20200320,1,1,2,2,,0.0000,0 
IH1910,CFFEX,上证50指数1910,IH1910,IH,1,2019,10,300,0.2000,20190816,20190819,20191018,20191018,20191018,1,1,2,2,,0.0000,0 
IH1911,CFFEX,上证50指数1911,IH1911,IH,1,2019,11,300,0.2000,20190920,20190923,20191115,20191115,20191115,1,1,2,2,,0.0000,0 
IH1912,CFFEX,上证50指数1912,IH1912,IH,1,2019,12,300,0.2000,20190419,20190422,20191220,20191220,20191220,1,1,2,2,,0.0000,0 
IH2003,CFFEX,上证50指数2003,IH2003,IH,1,2020,3,300,0.2000,20190719,20190722,20200320,20200320,20200320,1,1,2,2,,0.0000,0 
T1912,CFFEX,10年期国债1912,T1912,T,1,2019,12,10000,0.0050,20190308,20190311,20191213,20191216,20191218,1,1,2,2,,0.0000,0 
T2003,CFFEX,10年期国债2003,T2003,T,1,2020,3,10000,0.0050,20190614,20190617,20200313,20200316,20200318,1,1,2,2,,0.0000,0 
T2006,CFFEX,10年期国债2006,T2006,T,1,2020,6,10000,0.0050,20190916,20190917,20200612,20200615,20200617,1,1,2,2,,0.0000,0 
TF1912,CFFEX,5年期国债1912,TF1912,TF,1,2019,12,10000,0.0050,20190308,20190311,20191213,20191216,20191218,1,1,2,2,,0.0000,0 
TF2003,CFFEX,5年期国债2003,TF2003,TF,1,2020,3,10000,0.0050,20190614,20190617,20200313,20200316,20200318,1,1,2,2,,0.0000,0 
TF2006,CFFEX,5年期国债2006,TF2006,TF,1,2020,6,10000,0.0050,20190916,20190917,20200612,20200615,20200617,1,1,2,2,,0.0000,0 
TS1912,CFFEX,2年期国债1912,TS1912,TS,1,2019,12,20000,0.0050,20190308,20190311,20191213,20191216,20191218,1,1,2,2,,0.0000,0 
TS2003,CFFEX,2年期国债2003,TS2003,TS,1,2020,3,20000,0.0050,20190614,20190617,20200313,20200316,20200318,1,1,2,2,,0.0000,0 
TS2006,CFFEX,2年期国债2006,TS2006,TS,1,2020,6,20000,0.0050,20190916,20190917,20200612,20200615,20200617,1,1,2,2,,0.0000,0 
