代码,交易所,名称,代码2,产品代码,产品类型,交割年份,交割月份,合约乘数,PriceTick,创建日,上市日,到期日,开始交割日,结束交割日,合约周期状态,是否交易,持仓类型,持仓日期类型,标的代码,执行价,期权类型
AP001,CZCE,鲜苹果001,AP001,AP,1,2020,1,10,1.0000,20190116,20190116,20200114,20200114,20200114,1,1,2,2,,0.0000,0 
AP003,CZCE,鲜苹果003,AP003,AP,1,2020,3,10,1.0000,20190315,20190315,20200313,20200313,20200313,1,1,2,2,,0.0000,0 
AP005,CZCE,鲜苹果005,AP005,AP,1,2020,5,10,1.0000,20190520,20190520,20200514,20200514,20200514,1,1,2,2,,0.0000,0 
AP007,CZCE,鲜苹果007,AP007,AP,1,2020,7,10,1.0000,20190715,20190715,20200714,20200714,20200714,1,1,2,2,,0.0000,0 
AP910,CZCE,鲜苹果910,AP910,AP,1,2019,10,10,1.0000,20181022,20181022,20191021,20191021,20191021,1,1,2,2,,0.0000,0 
AP911,CZCE,鲜苹果911,AP911,AP,1,2019,11,10,1.0000,20181115,20181115,20191114,20191114,20191114,1,1,2,2,,0.0000,0 
AP912,CZCE,鲜苹果912,AP912,AP,1,2019,12,10,1.0000,20181217,20181217,20191213,20191213,20191213,1,1,2,2,,0.0000,0 
CF001,CZCE,一号棉花001,CF001,CF,1,2020,1,5,5.0000,20190116,20190116,20200114,20200114,20200114,1,1,2,2,,0.0000,0 
CF001C11600,CZCE,棉花001买权         ,CF001C11600,CFC,2,2019,12,5,1.0000,20190807,20190807,20191204,20191204,20191204,1,1,2,2,CF001,11600.0000,1 
CF001C11800,CZCE,棉花001买权,CF001C11800,CFC,2,2019,12,5,1.0000,20190806,20190806,20191204,20191204,20191204,1,1,2,2,CF001,11800.0000,1 
CF001C12000,CZCE,棉花001买权,CF001C12000,CFC,2,2019,12,5,1.0000,20190806,20190806,20191204,20191204,20191204,1,1,2,2,CF001,12000.0000,1 
CF001C12200,CZCE,棉花001买权,CF001C12200,CFC,2,2019,12,5,1.0000,20190611,20190611,20191204,20191204,20191204,1,1,2,2,CF001,12200.0000,1 
CF001C12400,CZCE,棉花001买权,CF001C12400,CFC,2,2019,12,5,1.0000,20190604,20190604,20191204,20191204,20191204,1,1,2,2,CF001,12400.0000,1 
CF001C12600,CZCE,棉花001买权,CF001C12600,CFC,2,2019,12,5,1.0000,20190524,20190524,20191204,20191204,20191204,1,1,2,2,CF001,12600.0000,1 
CF001C12800,CZCE,棉花001买权,CF001C12800,CFC,2,2019,12,5,1.0000,20190524,20190524,20191204,20191204,20191204,1,1,2,2,CF001,12800.0000,1 
CF001C13000,CZCE,棉花001买权,CF001C13000,CFC,2,2019,12,5,1.0000,20190523,20190523,20191204,20191204,20191204,1,1,2,2,CF001,13000.0000,1 
CF001C13200,CZCE,棉花001买权,CF001C13200,CFC,2,2019,12,5,1.0000,20190515,20190515,20191204,20191204,20191204,1,1,2,2,CF001,13200.0000,1 
CF001C13400,CZCE,棉花001买权,CF001C13400,CFC,2,2019,12,5,1.0000,20190515,20190515,20191204,20191204,20191204,1,1,2,2,CF001,13400.0000,1 
CF001C13600,CZCE,棉花001买权,CF001C13600,CFC,2,2019,12,5,1.0000,20190515,20190515,20191204,20191204,20191204,1,1,2,2,CF001,13600.0000,1 
CF001C13800,CZCE,棉花001买权,CF001C13800,CFC,2,2019,12,5,1.0000,20190515,20190515,20191204,20191204,20191204,1,1,2,2,CF001,13800.0000,1 
CF001C14000,CZCE,棉花001买权,CF001C14000,CFC,2,2019,12,5,1.0000,20190515,20190515,20191204,20191204,20191204,1,1,2,2,CF001,14000.0000,1 
CF001C14200,CZCE,棉花001买权,CF001C14200,CFC,2,2019,12,5,1.0000,20190514,20190514,20191204,20191204,20191204,1,1,2,2,CF001,14200.0000,1 
CF001C14400,CZCE,棉花001买权,CF001C14400,CFC,2,2019,12,5,1.0000,20190514,20190514,20191204,20191204,20191204,1,1,2,2,CF001,14400.0000,1 
CF001C14600,CZCE,棉花001买权,CF001C14600,CFC,2,2019,12,5,1.0000,20190212,20190212,20191204,20191204,20191204,1,1,2,2,CF001,14600.0000,1 
CF001C14800,CZCE,棉花001买权,CF001C14800,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,14800.0000,1 
CF001C15000,CZCE,棉花001买权,CF001C15000,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,15000.0000,1 
CF001C15200,CZCE,棉花001买权,CF001C15200,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,15200.0000,1 
CF001C15400,CZCE,棉花001买权,CF001C15400,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,15400.0000,1 
CF001C15600,CZCE,棉花001买权,CF001C15600,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,15600.0000,1 
CF001C15800,CZCE,棉花001买权,CF001C15800,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,15800.0000,1 
CF001C16000,CZCE,棉花001买权,CF001C16000,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,16000.0000,1 
CF001C16200,CZCE,棉花001买权,CF001C16200,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,16200.0000,1 
CF001C16400,CZCE,棉花001买权,CF001C16400,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,16400.0000,1 
CF001C16600,CZCE,棉花001买权,CF001C16600,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,16600.0000,1 
CF001C16800,CZCE,棉花001买权,CF001C16800,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,16800.0000,1 
CF001C17000,CZCE,棉花001买权,CF001C17000,CFC,2,2019,12,5,1.0000,20190128,20190128,20191204,20191204,20191204,1,1,2,2,CF001,17000.0000,1 
