代码,交易所,名称,代码2,产品代码,产品类型,交割年份,交割月份,合约乘数,PriceTick,创建日,上市日,到期日,开始交割日,结束交割日,合约周期状态,是否交易,持仓类型,持仓日期类型,标的代码,执行价,期权类型
nr2002,INE,20号胶2002,nr2002,nr,1,2020,2,10,5.0000,20190801,20190812,20200217,20200218,20200224,1,1,2,1,,0.0000,0 
nr2003,INE,20号胶2003,nr2003,nr,1,2020,3,10,5.0000,20190801,20190812,20200316,20200317,20200323,1,1,2,1,,0.0000,0 
nr2004,INE,20号胶2004,nr2004,nr,1,2020,4,10,5.0000,20190801,20190812,20200415,20200416,20200422,1,1,2,1,,0.0000,0 
nr2005,INE,20号胶2005,nr2005,nr,1,2020,5,10,5.0000,20190801,20190812,20200515,20200518,20200522,1,1,2,1,,0.0000,0 
nr2006,INE,20号胶2006,nr2006,nr,1,2020,6,10,5.0000,20190801,20190812,20200615,20200616,20200622,1,1,2,1,,0.0000,0 
nr2007,INE,20号胶2007,nr2007,nr,1,2020,7,10,5.0000,20190801,20190812,20200715,20200716,20200722,1,1,2,1,,0.0000,0 
nr2008,INE,20号胶2008,nr2008,nr,1,2020,8,10,5.0000,20190801,20190816,20200817,20200818,20200824,1,1,2,1,,0.0000,0 
nr2009,INE,20号胶2009,nr2009,nr,1,2020,9,10,5.0000,20190815,20190917,20200915,20200916,20200922,1,1,2,1,,0.0000,0 
nrefp,INE,nrefp,nrefp,nrefp,5,2037,12,10,5.0000,20190730,20190812,20371231,20371231,20371231,1,1,2,1,,0.0000,0 
sc1911,INE,原油1911,sc1911,sc,1,2019,11,1000,0.1000,20181016,20181101,20191031,20191101,20191107,1,1,2,1,,0.0000,0 
sc1912,INE,原油1912,sc1912,sc,1,2019,12,1000,0.1000,20180305,20180326,20191129,20191202,20191206,1,1,2,1,,0.0000,0 
sc2001,INE,原油2001,sc2001,sc,1,2020,1,1000,0.1000,20181213,20190102,20191220,20191223,20191227,1,1,2,1,,0.0000,0 
sc2002,INE,原油2002,sc2002,sc,1,2020,2,1000,0.1000,20190116,20190128,20200116,20200117,20200123,1,1,2,1,,0.0000,0 
sc2003,INE,原油2003,sc2003,sc,1,2020,3,1000,0.1000,20180305,20180326,20200228,20200302,20200306,1,1,2,1,,0.0000,0 
sc2004,INE,原油2004,sc2004,sc,1,2020,4,1000,0.1000,20190314,20190401,20200331,20200401,20200407,1,1,2,1,,0.0000,0 
sc2005,INE,原油2005,sc2005,sc,1,2020,5,1000,0.1000,20190415,20190506,20200430,20200508,20200514,1,1,2,1,,0.0000,0 
sc2006,INE,原油2006,sc2006,sc,1,2020,6,1000,0.1000,20180305,20180326,20200529,20200601,20200605,1,1,2,1,,0.0000,0 
sc2007,INE,原油2007,sc2007,sc,1,2020,7,1000,0.1000,20190613,20190701,20200630,20200701,20200707,1,1,2,1,,0.0000,0 
sc2008,INE,原油2008,sc2008,sc,1,2020,8,1000,0.1000,20190716,20190801,20200731,20200803,20200807,1,1,2,1,,0.0000,0 
sc2009,INE,原油2009,sc2009,sc,1,2020,9,1000,0.1000,20180305,20180326,20200831,20200901,20200907,1,1,2,1,,0.0000,0 
sc2010,INE,原油2010,sc2010,sc,1,2020,10,1000,0.1000,20190912,20190924,20200930,20201008,20201014,1,1,2,1,,0.0000,0 
sc2012,INE,原油2012,sc2012,sc,1,2020,12,1000,0.1000,20180305,20180326,20201130,20201201,20201207,1,1,2,1,,0.0000,0 
sc2103,INE,原油2103,sc2103,sc,1,2021,3,1000,0.1000,20180305,20180326,20210226,20210301,20210305,1,1,2,1,,0.0000,0 
sc2106,INE,原油2106,sc2106,sc,1,2021,6,1000,0.1000,20180516,20180601,20210531,20210601,20210607,1,1,2,1,,0.0000,0 
sc2109,INE,原油2109,sc2109,sc,1,2021,9,1000,0.1000,20180816,20180903,20210831,20210901,20210907,1,1,2,1,,0.0000,0 
sc2112,INE,原油2112,sc2112,sc,1,2021,12,1000,0.1000,20181115,20181203,20211130,20211201,20211207,1,1,2,1,,0.0000,0 
sc2203,INE,原油2203,sc2203,sc,1,2022,3,1000,0.1000,20190213,20190301,20220228,20220301,20220307,1,1,2,1,,0.0000,0 
sc2206,INE,原油2206,sc2206,sc,1,2022,6,1000,0.1000,20190516,20190603,20220531,20220601,20220607,1,1,2,1,,0.0000,0 
sc2209,INE,原油2209,sc2209,sc,1,2022,9,1000,0.1000,20190815,20190902,20220831,20220901,20220907,1,1,2,1,,0.0000,0 
scefp,INE,scefp,scefp,scefp,5,2037,12,1000,0.1000,20170606,20180326,20371231,20371231,20371231,1,1,2,1,,0.0000,0 
