代码,名称,交易所,产品类型,合约乘数,PriceTick,持仓类型,持仓日期类型,平仓处理类型
ag,白银,SHFE,1,15,1.0000,2,1,0
zn,锌,SHFE,1,5,5.0000,2,1,0
sn,锡,SHFE,1,1,10.0000,2,1,0
ru,天然橡胶,SHFE,1,10,5.0000,2,1,0
au,黄金,SHFE,1,1000,0.0500,2,1,0
ni,镍,SHFE,1,1,10.0000,2,1,0
pb,铅,SHFE,1,5,5.0000,2,1,0
hc,热轧卷板,SHFE,1,10,1.0000,2,1,0
bu,石油沥青,SHFE,1,10,2.0000,2,1,0
wr,线材,SHFE,1,10,1.0000,2,1,0
al,铝,SHFE,1,5,5.0000,2,1,0
cu,铜,SHFE,1,5,10.0000,2,1,0
rb,螺纹钢,SHFE,1,10,1.0000,2,1,0
cu_o,铜期权,SHFE,2,5,1.0000,2,1,0
sp,漂针浆,SHFE,1,10,2.0000,2,1,0
ss,不锈钢,SHFE,1,5,5.0000,2,1,0
ru_o,天胶期权,SHFE,2,10,1.0000,2,1,0
fu,燃料油,SHFE,1,10,1.0000,2,1,0
